genre,description
 horror ," The residents of Haddonfield don't know it yet... but death is coming to their small sleepy town. Sixteen years ago, a ten year old boy called Michael Myers brutally kills his step father, his elder sister and her boyfriend. Sixteen years later, he escapes from the mental institution and makes his way back to his hometown intent on a murderous rampage pursued by Dr Sam Loomis who is Michael's doctor and the only one who knows Michael's true evil. Elsewhere a shy teenager by the name of Laurie Strode is babysitting on the night Michael comes home... is it pure coincidence that she and her friends are being stalked by him? On Halloween 1963, Haddenfield, 10-year-old Michael Myers, estranged and mentally unstable, is imprisoned in Smith's Grove Sanitarium under the care of Dr. Sam Loomis for the murders of his mother's boyfriend, his older sister, and her boyfriend. Now, 16 years later, he escapes and now in search of his baby sister Laurie and Dr. Loomis must warn the residents of Haddenfield and get to Laurie before Michael does. Young Michael Myers is committed to Smith's Grove after the brutal murder of his mom and sister's boyfriends, and his sister Judith. After being there for roughly 17 years, he returns to his home town of Haddonfield in search of one of the only people he has ever cared about, his baby sister Laurie Strode. As he is tracked down by Dr. Sam Loomis he will kill anybody who gets in his path. In Haddonfield, Illinois, the nine years old Michael Meyers is raised by a dysfunctional family: his mother Deborah is a stripper in a night-club; his foster father Ronnie is an alcoholic bum; his sister Judith is a easy girl; and he is connected to his baby sibling. On October, 31st, after an incident in school where he is bullied by a schoolmate, Michael overhears the conversation of the principal and the psychiatric Dr. Samuel Loomis with his mother. They had found pictures of Michael torturing animals in his backpack and Dr. Loomis would like to send Michael for psychiatric evaluation believing that the boy is deranged. This revelation triggers Michael that escapes from the school and kills the bully, Ronnie, Judith's boyfriend Steve Haley and his sister Judith. Michael is held in custody in the Smith's Grove Sanatorium under the treatment of Dr. Loomis. Eleven months later, during the visit of his mother, Michael kills his nurse and his stressed mother commits suicide. Fifteen years later, Michael escapes from the mental institution leaving bloodshed behind, and heads to Haddonfield in the Halloween's night."
 horror ," A college student is injured by a malfunctioning soda machine on Highway 6. His fellow students take him to a doctor who lives in a basement bomb shelter and awaits the second coming of Elvis Presley. They can't leave, and a killer stalks them with an ax."
 horror ," in 2007 a series of tapes were found in the basement of a London house. The tapes contained recordings made by a well known medium right up to the time of her death. She recorded the voices of the dead, one claiming to be the Devil himself. Based on true events."
 horror ," In Baton Rouge, Louisiana, Taylor, her boyfriend David and their friends Brice and his girlfriend Naomi travel together on vacation to spend a couple of days with their friends Sharley and her boyfriend Howard in the house of his family. On the next day, they see a missile exploding near the house and soon they learn that the USA is under a biological terrorist attack. Out of the blue, a hostile dog comes to the real estate and they decide to lock the door and go sleep. On the next morning, the dog is still stalking them and Brice kills it with a baseball bat. David decides to take the dog to the CDC and he discovers that the locals have transformed in sort of zombies. The friends are attacked by these zombies and have to find a means to escape and survive the hordes of zombies. Will they survive?"
 horror ," Slaughter is the feature film debut of writer and director Juno Jakob and takes horror back to its nasty, gritty and often tongue in cheek roots of the 1970's and 80's. The film follows escaped mental patient David Ward as he hides in his derelict caravan spending his days hiding from the police and doctors and filming himself raping and murdering while police slowly discover his crimes and get closer to him. The film is told from two view points. The traditional third person camera and David's own Hi8 camcorder."
 horror ," If you Like ""Ghost"" reality shows, you should get a kick out of this one... Realm of horror, Dare you venture into the most haunted place in the world. A TV crew will film a paranormal investigation and obtain evidence that proves we are not alone. Something Evil awaits them! They will all discover the truth, that we are not alone."
 horror ," A group of college kids go on a road trip to hell when they stumble across a small Texas Town with an entire economy based upon stealing cars and selling the parts. But what's the town to do with the group of people that came with the set of wheels worth a mint? Easy, just chop them too! Callie talks her cute blonde cousin Tyler into going to the lake with her and her friends. Despite an ominous warning not to go to the lake from the friendly Cait, the kids continue on their quest for fun, sun, sex, and beer. As soon as they get to the lake two hot chicks come over and tease Tyler into a threesome and take him into the woods. Callie goes to find him and meets the creepy Esteban and his set of evil twin henchwomen. It's not long before they all find themselves dazed and surrounded by many more in the same awful predicament. Callie and friends escape their captivity, but it's only out of the frying pan and into the fire for them as they discover workers at the factory disposing of others just like them. Uncle Buddy runs a tight shift here at the factory, where his precious and gruesome little granddaughter Betsy sits and stuffs her fat face with pretzels hand over fist as her uncle yells out his orders to security guards. A cat and mouse game begins between Esteban, security guards, those evil twins and Callie and her friends as you watch waiting to see the outcome of this horrid situation. Will anyone survive? Or will they all succumb to the fate that is passed onto them for going to the lake?"
 horror ," Feature film director Jack Thomas Smith's current project he calls ""Infliction"" is the actual assembled footage taken from the cameras belonging to two brothers, who documented a murder spree in North Carolina in 2011. The footage reveals in disturbing detail their actions and motives. It documents the effects of people's actions or inactions and its long-term consequences on other's lives. ""Infliction"" presents in cold detail a hard look at the blurred line between society's criminals and victims."
 horror ," A biker gang visits a monastery where they encounter black-robed monks engaged in worshipping Satan. When the monks try to persuade one of the female bikers, Helen, to become a satanic sacrifice the bikers smash up the monastery and leave. The monks have the last laugh, though, as Helen, as a result of the satanic rituals, is now possessed and at night changes into a werewolf, with dire results for the biker gang."
 romance ," The drama tells the story of two young people, Zhenzhen Gao from a parents divorced family, she met the rich-second-generation Junhao Qiao by chance, they contradict each other at the beginning, then slowly understand and had feeling with each other."
 romance ," An elder woman (Romelia), her daughter and her grandchildren take a few days on holidays to visit a small town outside the city. The town makes Romelia melancholy and her daughter wants to find out about the mystery of her unknown father."
 romance ," Wealthy businessman Annasaheb, a widower, owns a Papadam factory in the city. Simpleton Bharat works as a manager in his factory. Bharat is in love with a girl called Meeta. Bharat has taken a loan from Sanjubhai a money lender, and is tired of paying the interest. One day Meeta happens to meet Annasaheb, who takes a liking for her. The story revolves around how the hero's struggle to manage all this chaos and friend Annasaheb to get aside from his love."
 romance ," In a Mexican border town Arthur befriends cantina girl Poll. She falls for him but he still loves the dancer Rosa. When the cigar Poll gives him explodes and blinds him, Arthur is duped into thinking Poll is Rosa and marries her. When his vision is surgically restored, he leaves for Siam to find Rosa."
 romance ," Old 1970/80 Taiwanese romance movie. Errant Love (Ju san liang yi yi) Kao Han (Kenny Bee) and Pan Yun (Xiu-ling Lu) meet for the first time as strangers in a pet shop. It is destiny that they meet a second time and Kao Han takes a chance in this second meeting to pursue Pan Yun. Pan Yun is reluctant to get involved with Kao Han because she still thinks about and love her late-husband and also her late-husband's niece, Ko Hiu (Lan-xi), is in love with Kao Han. Reluctantly and unwillingly Pan Yun falls for Kao Han but their love is not so easily obtained."
 romance ," A hard breakup separated Martin and Beth almost a year ago and neither ever filled their partners place with someone else. Martin is struggling with his new job as a realtor and on top of that, Beth shows up at an open house hosted by him and seeks some closure."
 romance ," Childhood sweethearts Moonir and Vina are reunited when they return to their hometown of Batu Saura, a small sleepy community on Langkawi Island, where nothing much ever happens. Love once lost is now rekindled."
 horror ," A mad scientist (Mark Burns) is conducting hideous occult experiments at the family estate of Brattling Manor, monkeying about with things man was not meant to know, including the transfer and containment of living souls. It's only a matter of time before he begins to experiment on the souls of human beings - including his own family."
 romance ," Yelena is 39, she is a former tennis player. Now she works in real estate, she is successful, smart, good-looking, she has an amazing career, and she is willing to take on any kind of challenge. She was always surrounded by male attention. But Lena is a career-oriented woman, not that keen on her personal life. Fleeting romances lost their appeal - So there is no man by her side, but not that it matters all that much. The work life is so involving, it leaves no room for the personal. A bolt from the blue hits her when doctors find out she has a long-term health issue that would leave her unable to have kids soon. And she's almost 40. She makes a decision to get pregnant and have kids. ASAP. Lena never dealt with a ""challenge"" like that, so it threw her off a bit. Gotta do what you gotta do. Lena takes on this new challenge in her natural ""can-do-it"" manner, and she doesn't even see it as that big of a deal. However, finding a perfect man to be a father of her child turns out to be not that easy. All the men she had around for all the various reasons turn out to be a poor fit for the father role, never mind being a husband. Some are already married, others are terrified by the idea of being a father and having that responsibility, and someone turns out to be just a womanizer and scoundrel. Should we even bother saying that at the end of our story Yelena realizes that love is more important than any career, and that only the two people who are really in love can have a desirable baby? The real love won't keep you waiting for long, and it would happen where you least expect it."
 horror ," Professional Killer, Frank Ng, has been contracted to murder a Chinese crime lord. The routine hit goes awry when Frank discovers his mark is actually a vampire. Suddenly, the tables have turned. The professional killer - the hunter - has become the hunted. This is no ordinary vampire of myths and legends, however. Frank has come face to face with the vengeful Kiang-Shi (Chinese vampire), and it vows to inflict upon Frank such unbearable pain that death will be his only sanctuary. Cursed, Frank is condemned to helplessly witness the horrific and merciless deaths of those he loves, everyone he knows, and anyone he merely brushes by. His anguish intensifies when he dooms his younger brother to this terrible fate. Enlisting the help of a Chinese herbalist, knowledgeable in the ways of ancient lore, and an unlikely team of vampire hunters, Frank strikes out in a final battle against the Kiang-Shi and his minions of the dark. Tonight, Frank Ng will discover that to destroy the monster, one must become the monster!"
 romance ," Its story revolves around Aditya, a criminal lawyer gets married to a pop star Anjali and wants to kill her for her wealth. Bar dancer Sailu is in love with Aditya but he has other plans. He plots the murder of his wife and decides to take help from Sailu. From here, the story takes an interesting turn. Watch the full movie Bhama Kolapam online, only on Eros Now."
 romance ," Jasmine got obsessed with a man and now he's obsessed with her. Steamy nights, kisses and rules being broken awaits them. She turned his whole world upside down and now he's doing it to hers. In this free fall, can they survive each others love?"""
 romance ," Miley Jab Hum Tum (When We Met) is a young-adult oriented television series that aired on Indian television channel STAR One, premiering September 22, 2008. The series ran for two years successfully covering two seasons before ending on November 19, 2010. The show is about falling in love during college and developing relations for a lifetime. Reruns of Miley Jab Hum Tum will be broadcast in the US on TV Asia starting March 4, 2011."
 romance ," Min is a Korean boy moves to Japan with his father who is a potter. One day at a local shrine, he meets Nanae, a beautiful Japanese girl with stunning eyes who is aspiring to be a painter. Min falls in love at first sight and finds out that Nanae attends the school to which he has just transferred. Their friendship develops fast despite their cultural and language difference. When Min's grandmother falls ill, Min returns to Korea and Nanae is nowhere to be found. Had his true feelings for Nanae not been apparent to her? Why has Nanae disappeared without a word? Min moves to Japan following his professor father. One day at a local shrine, he meets a beautiful Japanese girl with innocent eyes. Her name is Nanae, and she is an aspiring painter. Min falls for her at first sight, and soon learns that Nanae attends the same school to which Min has just transferred. They become friends, and despite the culture and language barriers it is an intense friendship. When his grandmother suddenly falls ill, Min hastily returns to Korea but can't get in touch with Nanae beforehand. After his grandmother regains her health, he hurries back to Japan to reunite with Nanae, but she is nowhere to be found. Had his true feelings for Nanae not been apparent to her? Why has Nanae disappeared without a word?"
 romance ," May and Lily are two juvenile delinquents and experts in burglary and theft. Both have the hears for fellow rascal Jack (Sam Lee), who has his life savings cheated by his gang leader. As both May and Lily conspire to steal back the money for Jack, the revelation of him dying from cancer force the three to rethink their priorities and try to cope with their own unforeseeable future."
 horror ," Le Capitaine, le Bosco and two other sailors are dangerous ship wreckers. This time, they have done even worse mischief than usual, for not content to have lured a ship into coastal rocks and plundered it, they have also brutally raped and left for dead the two girls who have survived the wreck. But helped by a mysterious clown, by an exorcist on the beach and by... Satan himself, the two virgins turned she-devils will ruthlessly exact their terrible vengeance."
 horror ," In 2002, 11 months before the invasion of Iraq, the military captured and imprisoned a supernatural entity at Stormhouse, a secret underground base. This film documents the final four days of that experiment. 'Ghost whisperer' Hayley Sands is brought to Stormhouse by the government to make contact with the captured entity. Her arrival triggers a series of events which lead to the entity's escape, plunging the base into a horrific nightmare. In 2002 the Military captured and imprisoned a supernatural entity at a secret underground base. In the final four days of their experiment a 'Ghost Whisperer' is brought to Stormhouse by the Government to make contact with the captured entity. But her arrival triggers a series of events, which leads to the entity's escape, plunging the base into a horrific nightmare leaving everyone on board fighting for their lives!"
 horror ," A mysterious Avenger turns up in the neighbourhood. Driven by her strong longing for justice she has made it her duty to eliminate every criminal, liar and traitor in her area who is a threat to society and innocent individuals. After her deed is done, she begins to tell the tale of another avenger, who seems to be in a similar situation but whose motives are a lot different: Marissa's 18th birthday is coming up. She got her parents' permission to celebrate her birthday at home with her friends. Her mother is away on a business trip while her father takes the chance to see his new love. Marissa can finally celebrate her birthday with her friends, undisturbed by her parents. During the party preparations Marissa suffers occasional headache attacks. During these attacks she has visions of her friends committing suicide. Ignoring her headaches she prepares the party. Marissa's guests arrive: Her boyfriend Peter, her best friend Julie and her high school friend Patrick with his ex-girlfriend Vivianne. They spend a good time together, drinking and laughing. During this time, Marissa feels betrayed and she gets to know the truth about her friends. As they are getting drunk, they don't realize that Marissa can hear them, and she then realizes more and more how her friends are plotting behind her back. Marissa's mood changes. She begins to hate them and starts to take revenge."
 horror ," Something ancient lurks in the surf off Sea Bright Beach. It swims silently, can breathe air and walks upright. It's also very, very hungry and not for seafood anymore. Tonya, Rodney and Rupert are out-of-towners joining a crowd of young people gathered on the beach for an all-weekend music marathon. Even after several townspeople are torn apart and devoured by the humanoid creatures, the partygoers remain oblivious to the horror that has risen up from the sea. They dismiss local girl Tess as a weirdo and refuse to heed her cries and warnings that monsters roam the beach, hunting for human flesh and that hundreds of buried egg sacks are ready to hatch at any moment."
 horror ," Alan Smithee is a struggling filmmaker that has had sex with countless actresses that were trying to break into the business. One day his cellphone gets hacked and naked pictures and sex videos of these women are leaked online, destroying their lives and careers. Trying to do damage control on his own career he finds himself pushed to the limit and must make a decision that could prove fatal for everyone around him."
 horror ," Two weeks after the events in ""Terror at Black Tree Forest"" young Mare Strode returns home from Falls City Memorial Hospital. She brutally murders her mother and ""escapes"" back to Black Tree Forest. There, she dons the original psycho's outfit and continues the cycle of murder with a whole new group of adventure-seeking teens."
 romance ," Intu Mintu London-Ma is a romantic drama about two modern day Nepali individuals struggling to walk the fine line between tradition and modernity. When Ishan (INTU) and Meera (MINTU) meet by chance through their common friends in London, they unknowingly fall for each other only to discover their fate depends on a difficult choice. Would you follow your tradition or follow your heart?"
 horror ," In the 10th century a viking ship arrives on the North American shore. In present day, somewhere in the woods, a couple of seniors is struck down by a frenzied assailant. The next day, assertive rock music-loving Josh takes his college friends, easy-going Mike, Mike's fun-loving girlfriend Shelly, enthusiastic Kathy, Kathy's unenthusiastic frizzy-haired friend Kristi and bookworm Larry, in his black pickup to a cabin near a creek in the woods where he and his family used to camp. They have fun there until nightfall. Josh becomes nostalgic for the days of his youth he spent there with his folks and unsuccessfully tries to hit on Kristi, Mike and Shelly have fun with each other and Kathy shows subtle interest in Larry. Larry however is more interested in the history of the place, since it's said that vikings from Norway landed in the vicinity 1000 years ago and built the first settlement there. Another story he's curious about is the Nordic myth of the curse of the berserker. Some warriors among the vikings would allow themselves to become possessed with primal berserker rage. In this state, they were unstoppable and would kill everything in site and even eat the flesh of their enemies. They could sometimes even kill a bear with their bare hands and use its skin as a cloak, claws as weapons and snout as a mask. However, they would pay a terrible price for becoming berserkers, since even in their death they were never to find peace and their rage would return to possess their offspring. Meanwhile, the worried local state trooper and de facto local sheriff, Officer Hill, plays chess with his friend and local Pappy Nyquis and mentions the college kids and the cabin. Pappy mentions that Homer and Edna, a nice senior couple who rented the cabin, should be somewhere around there as well. Hill has a bad feeling, but he isn't sure why."
 horror ," Four years later, the wildly popular cult hit still enjoys a rabid fanbase-many of whom feel the series was cancelled much too soon. These same fans will be delighted to see their favorite stars brought together, once again, as the amiable cast openly discusses many behind-the-scenes anecdotes and stories from their time on set. The cast's favorite memories-such as Sock's lusty encounter with Gladys; the creators' insider info that comedic icon Louis C.K. originally auditioned for the part of the Devil; and whether or not the team would be open to a Kickstarter campaign to resurrect REAPER, are just a few of the things fans can expect to glean from the special."
 romance ," A British writer finds love down two different and equally surprising avenues while on a fact-finding trip to Spain. Both are life changing; one emotionally and the other without question physically but the lines couldn't be more blurred. A series of serendipitous events and one's very own mortal curiosity lead man to discover beast in the most lucid sense in la plaza de toros but his true fight is with romance, passion and his own conscience. Oh, and a girl called Cynthia."
 horror ," Born from war, comes the origin of modern terrors. In 1865, a disgraced Union doctor joins forces with a gang of AWOL Confederates to reclaim riches from the mysterious profiteer who bilked them all. But their mission proves disastrous upon encountering a terrifying breed of the undead: ones that can think. The key to survival lies within exploiting the doctor's personal demons. In 1865, a disgraced doctor joins forces with a gang of AWOL Confederate soldiers to reclaim riches from a mysterious profiteer who bilked them all. But their mission proves disastrous upon encountering a terrifying breed of the undead: ones that can think. The key to survival lies within exploiting the doctor's personal demons."
 horror ," A prominent millionaire gets a woman drunk and rapes her, biting off her nipple in the process. Because of his influence and powerful lawyer, though, he is able to beat the rap, claiming the woman was trying to extort money from him. He continues his life of debauchery, using women and flaunting his power until he meets a new woman, who won't let him have his way with her, but wants to be his friend. Falling madly in love with her, he cleans up his act and devotes his attentions to her, not realizing that she has a hidden agenda."
 romance ," Brooklyn based cartoonist Colin Jenson has just broken up with his longtime girlfriend, Kay Ho. Colin takes us on a hilarious journey through his memories to uncover what went wrong over their three-year relationship and who was to blame. Ultimately it's up to Colin to erase the mistakes of his past and draw upon lessons learned to win back the heart of his true love."
 romance ," Shyama is an orphaned young woman who lives with her aunt, uncle and several cousins, two of who are girls of marriageable age. Her passion is dancing, which is frowned upon by her uncle and aunt. One day she, along with a young man named Gopal, go to see the dance by an international artiste named Veena. They ask Veena and her mentor, Dinanath, for help but are shunned and asked to leave. Crestfallen, she returns home and sleeps outside the door as it was very late. The next day her aunt finds out about her overnight excursion and beats her up severely, followed by another beating by her uncle. Humiliated, she decides to run away with Gopal to another town in order to learn dancing at the hands of well-known Guru Kishinchand Sharma. They do find Kishin, who initially rejects them, but relents when he witnesses Shyama abilities. He decides to be her mentor and in this manner Shyama excels in her talents, so much so that she is asked to perform on stage in a competition with none other than Veena. The question remains, will Shyama succeed against an renowned international artiste such as Veena?"
 horror ," Black Ridge, Florida. A bizarre series of savage mass murder plagues the once quite countryside community. With no apparent motive for the slayings, and no known suspects, the killer is never apprehended. For over thirty years the case officially remains unsolved... Until Now... Intrigued by their home towns dark history, the students of Black Ridge High have decided to reinstate a long since banned tradition... The annual Senior Class Scavenger Hunt. Upon the Scavenger Hunts commencement, a young girl is found brutally bludgeoned to death in her home. Although the killing bares an all too familiar resemblance to the past, it's too late. Unaware of the impending danger, the remaining students proceed with the game and the roles in the hunt take an even more tragic turn. One by one, the body count mounts, as the students are stalked and dispatched in most gruesome fashion by a shadowy killer who has seemingly been waiting in silence for decades to kill again."
 horror ," A young European woman moves to Hollywood to live with her fiancé, an apartment building manager, but she arrives to discover he has vanished and quickly learns the building has a creepy history of its residents being attacked and sexually assaulted by supernatural entity."
 romance ," A rising plastic surgeon is looking for the perfect man and will stubbornly settle for nothing less. She inherits property from family and comes back into contact with an old school mate who protected her from bullying in junior high but suddenly moves away. She is left wondering what happened. It's haunted her in the background ever since. Meanwhile he becomes barely recognizable to her as he is now obese. But his good nature remains. Though his heart starts out belonging to another, the more she gets to know him again, the more she questions her own idea and standard of the perfect man. Could HE be the one? Or is there much to learn from him to help in her search? Who's the one?"
 romance ," Kiran (Akash) and Aishwarya (Rekha) are neighbors for 20 years in Hyderabad. They study in the same college and immensely hate each other. Rekha's parents shift to Ooty. In Ooty house, Aishwarya founds an unopened greeting card addressed to Deepika (Tanu Roy). Aishwarya comes to know that Deepika is the girl who stayed in that room in the past. Deepika committed suicide because her lover Vamsi (Venkat) did not return after going to Hyderabad. Aishwarya opens the letter addressed to Deepika and realizes that Vamsi wrote it. It's a sensitive letter written by Vamsi explaining his feelings towards her. Aishwarya does not want to disappoint Vamsi that Deepika is no more. She starts writing letters on the name of 'Deepika'. Interestingly, on the other side Kiran would be replying all these mails on the name of 'Vamsi', as Vamsi dies of accident in Hyderabad. The rest of the film is about how these two people come to know about the real story and turn the their hatred into love."
 romance ," Elena is the daughter of a rich man, she is married to Sergio, whose origins are very humble. When they married they had an agreement: he would never cheat on her, otherwise it would result in divorce and the loss of all the money and life style he's accustomed to; on the other hand, she has all the freedom she wants. But despite this agreement, Sergio now has a young and free-spirited lover, Titty, who threatens to leave him, if they don't spend the holidays together. Sergio finds a way to hire her as a house keeper at the beach house, so they can be closer. Rebecca, who manages the staff at the beach house, is not happy about this new hiring and has plotted with the staff to unveil the truth behind the new arrival - in the meanwhile, Elena, Sergio's wife, arrives at the beach house with her friend and personal shopper, and they decide to stay instead of going back to the city. At this point the situation becomes complicated and it results in a lustful story full of adultery, sex and intrigues where at the end the cheater is cheated on."
 romance ," A modern phone sex and Internet love story. A frustrated sculptor artist calls a phone sex service on a dare and meets the love of his life. These lovers develop an obsessive relationship over the phone. They each create erotic period fantasies in each others imagination over the phone, then through the Internet, which in turn makes the fantasies come to life in a real world encounter."
